latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
34.252347,-118.584762,Yes,HS,LOS ANGELES UNIFIED,Chatsworth Charter High School,CA,____hi,Y
33.80372,-118.306576,Yes,HS,LOS ANGELES UNIFIED,NATHANIEL NARBONNE SENIOR HIGH,CA,____hi,Y
34.272222,-118.442851,Yes,HS,LOS ANGELES UNIFIED,SAN FERNANDO SENIOR HIGH,CA,____hi,Y
34.108046,-118.277407,Yes,HS,LOS ANGELES UNIFIED,John Marshall High School,CA,____hi,Y
33.96997,-118.269018,Yes,HS,LOS ANGELES UNIFIED,John C Fremont Senior High School,CA,____hi,Y
33.996932,-118.444048,Yes,HS,LOS ANGELES UNIFIED,Venice High School,CA,____hi,Y
34.169068,-118.571336,Yes,HS,LOS ANGELES UNIFIED,W H Taft Charter High School,CA,____hi,Y
34.275322,-118.487944,Yes,HS,LOS ANGELES UNIFIED,John F Kennedy High School,CA,____hi,Y
34.223909,-118.40396,Yes,HS,LOS ANGELES UNIFIED,John Francis Polytechnic High School,CA,____hi,Y
34.034125,-118.390578,Yes,HS,LOS ANGELES UNIFIED,Alexander Hamilton Senior High School,CA,____hi,Y
34.18974,-118.453638,Yes,HS,LOS ANGELES UNIFIED,Van Nuys High School,CA,____hi,Y
34.165812,-118.388164,Yes,HS,LOS ANGELES UNIFIED,North Hollywood High School,CA,____hi,Y
33.730073,-118.299349,Yes,HS,LOS ANGELES UNIFIED,San Pedro Senior High School,CA,____hi,Y
34.218922,-118.548335,Yes,HS,LOS ANGELES UNIFIED,Grover Cleveland High School,CA,____hi,Y
34.01129,-118.315454,Yes,HS,ACADEMY OF MEDIA ARTS DISTRICT,ACADEMY OF MEDIA ARTS,CA,____hi,Y
34.027172,-118.193248,Yes,HS,COLLEGIATE CHARTER HIGH SCHOOL OF LOS ANGELES DISTRICT,COLLEGIATE CHARTER HIGH SCHOOL OF LOS ANGELES,CA,____hi,Y
34.04683,-118.280821,Yes,HS,UNIVERSITY PREPARATORY VALUE HIGH DISTRICT,University Preparatory Value High School,CA,____hi,Y
32.71865,-117.16263,Yes,HS,KING-CHAVEZ COMMUNITY HIGH DISTRICT,King-Chavez Community High School,CA,____hi,Y
37.359028,-121.816115,Yes,HS,LATINO COLLEGE PREPARATORY ACADEMY DISTRICT,Latino College Preparatory Academy,CA,____hi,Y
37.970661,-122.514171,Yes,HS,SAN RAFAEL CITY HIGH,MADRONE HIGH CONTINUATION,CA,____hi,Y
33.994012,-118.267292,Yes,HS,SYNERGY QUANTUM ACADEMY DISTRICT,Synergy Quantum Academy,CA,____hi,Y
